Base,TPS,Past,PastP,PresP,Force PPs (list),LF (prefix: Agent^Patient^)
kill,kills,killed,killed,killing,,"kill(Agent, Patient)"
love,loves,loved,loved,loving,,"love(Agent, Patient)"
like,likes,liked,liked,liking,,"like(Agent, Patient)"
give,gives,gave,gave,giving,to,"give(Agent ,_Recipient, Patient)"
type,types,typed,typed,typing,,"type(Agent, Patient)"
do,does,did,did,doing,,"do(Agent, Patient)"
take,takes,took,taken,taking,from,"take(Agent, Patient, _Origin)"
put,puts,put,put,putting,in,"put(Agent, Patient, _Destination)"
move,moves,moved,moved,moving,"from,to","move(Agent, Patient, _Source, _Destination)"
tell,tells,told,told,telling,about,"talk(Agent, Patient, _Topic)"
eat,eats,ate,ate,eating,,"eat(Agent, Patient)"
drink,drinks,drank,drank,drinking,,"drink(Agent, Patient)"
