Entity,Kinds (list),Description,Proper noun (word list),Number,Properties (list),Relations (list)
player,person,,the player,,,
$bruce,person,, 'Bruce',,"age=23, given_name=""Bruce"", surname=""Bigelow"", gender=male, job=spy","knows_about: spying, member_of:www, interested_in: illuminati, friend_of: $'Kavi'"
$kavi,person,, 'Kavi',,"age=23, given_name=""Kavi"", surname=""Surkow"", gender=male","member_of: illuminati, friend_of: $'Bruce'"
illuminati,conspiracy,"""A shadowy conspiracy to floridate our precious bodily fluids""",the 'Illuminati',plural,,"goal: ""complete world domination"", leader: adam_weishaupt"
adam_weishaupt,person,,  'Adam' 'Weishaupt',,,
cia,"government_agency, clandestine_organization",,the 'CIA',,,
www,organization,"[""A ragtag group of performance artists,"", ""working to undermine the apalling level of normativity"", ""of late capitalism.""]", 'Wiccans' for a 'Weirder' 'World',plural,,"goal: ""the enweirdening of the world."""
spying,action,,,,,
tamping,action,,,,,
$report,report,"""Final report on project MKSPARSE.""",the report,,"text=""This is a report on stuff""",
kavis_house,house,, 'Kavis' '\'' s house,,,
the_word,enclosing_container,"""The word is everything""",the world,,,
the_game,enclosing_container,"""The game is everything.""",the game,,,
