Kind,Parents (list),Singular (string),Plural (string)
entity,,thing,
perdurant,entity,-,-
endurant,entity,-,-
actor,endurant,-,-
physical_endurant,endurant,-,-
% Physical objects,,,
physical_object,physical_endurant,object,
container,physical_object,-,-
enclosing_container,container,-,-
surface_container,container,-,-
prop,physical_object,-,-
% Living things,,,
living_thing,physical_object,-,-
male,living_thing,,
female,living_thing,,
creature,"living_thing, actor",,
plant,living_thing,,
person,"creature, containter",,people
human,person,,
man,"human, male",,men
woman,"human, female",,women
% Furniture,,,
furniture,prop,,furniture
sittable,furniture,-,-
chair,sittable,,
toilet,sittable,,
sofa,"sittable, layable",,
layable,furniture,-,-
bed,layable,,
storage_furniture,"furniture, enclosing_container",-,-
refridgerator,storage_furniture,,
bookshelf,storage_furniture,,
sink,storage_furniture,,
work_surface,"furniture, surface_container",-,-
desk,work_surface,,
table,work_surface,,
% Rooms,,,
room,enclosing_container,,
kitchen,room,,
bedroom,room,,
bathroom,room,,
living_room,room,,
% Food and drink,,,
ingestible,prop,,
food,ingestible,,food
fruit,food,,
apple,fruit,,
orange,fruit,,
beverage,ingestible,,
beer,beverage,,beer
% Other objects,,,
macguffin,prop,,
% Nonphysical,,,
nonphysical_endurant,endurant,-,-
nonphysical_object,nonphysical_endurant,-,-
% Social objects,,,
social_object,nonphysical_object,-,-
agentive_social_object,social_object,-,-
social_agent,agentive_social_object,-,-
socially_constructed_person,social_agent,-,-
social_role,socially_constructed_person,-,-
job,social_role,,
spy,job,,spies
barista,job,,
social_group,"social_object, actor",-,-
ethnic_group,social_group,-,-
organization,social_group,,
government,organization,,
agency,organization,,
business,organization,,
conspiracy,organization,,
% Mental objects,,,
mental_object,nonphysical_object,,
% Events,,,
event,perdurant,,
action,event,,
question,event,,
assertion,event,,
% Torts,,,
tort,event,,
assault,tort,,
battery,tort,,
property_tort,tort,-,-
trespassing,property_tort,,trespassing
theft,property_tort,,
% Abstract entities,,,
abstract,entity,-,-
relation,abstract,,
condition,abstract,,
manner,abstract,,
